pid,Status,Project Address,Tel,Stewarding Chapter,Extracted State
618, completed - requirements ended  ," , Namma Bhoomi,,Kundapur,Karnataka   ",   ,"",KARNATAKA
619, current / ongoing  ," , ASHA TRUST ,685 /A Village Post Tatiyaganj, Mandhana, Kanpur Nagar,kanpur,Uttar Pradesh  209217 ", 011  9198385 46900  ,"",UTTAR PRADESH
620, current / ongoing  ," , Plot 4119,DLF Phase IV,Gurgaon,Haryana  122002 ", 011 91 9810278051  ,"",HARYANA
622, rejected  ," , Animators for Community Development, Pondichery,,,Pondicherry   ",   ,"",PUDUCHERRY
623, completed - requirements ended  ," , ,,,Tamil Nadu   ",   ,"",TAMIL NADU
624, completed - requirements ended  ," , ,,,Uttar Pradesh   ",   ,"",UTTAR PRADESH
626, current / ongoing  ," , First Floor, 85/2, Luz Avenue, Mylapore, Chennai 600004,Near Nageswara rao park,Chennai,Tamil Nadu  600004 ", 011919444404060  ,"",TAMIL NADU
628, current / ongoing  ," , Borderless World Foundation,Near Florence Hospital, Chanpora,Srinagar,Jammu and Kashmir  190015 ", 011-20-24327766  ,"",JAMMU AND KASHMIR
631, completed - requirements ended  ," , ,Near Old CCS, Junglighat,Port Blair, Andamans - 744101,Andaman and Nicobar Islands  744101 ", 03192-240734/ mobile- 94342640  ,"",ANDAMAN AND NICOBAR ISLANDS
633, completed - requirements ended  ," , Swami Vivekananda Youth Movement,Hanchipura rd,Saragur,Karnataka  571121 ", 91-821-265412  ,"",KARNATAKA
634, current / ongoing  ," , ASHRAYA PULLIYIL KILIKOLLOOR,N/A,Kollam,Kerala  691004 ", 91 9446315656  ,"",KERALA
635, completed - requirements ended  ," , Madhavi Nilayam,   J. K. C. College Road Extension,,,Guntur,Andhra Pradesh  522006 ", 91-863-2359181  ,"",ANDHRA PRADESH
636, completed - sustainable  ," , c/o Prof. Hari Bist,14-35, GB Pant Marg,Haldwani,Uttaranchal  263141 ", 91 8941032868  ,"",UTTARAKHAND
637, completed - requirements ended  ," , ,,,Tamil Nadu   ",   ,"",TAMIL NADU
638, completed - requirements ended  ," , â€œ Sruthishilpamâ€, 21/1252 A ,,Palluruthy,Kochi,Kerala  682006 ", 91-484-2328977 / 2232598  ,"",KERALA
640, completed - requirements ended  ," , Flat 5, Shree Datta Krupa,,908 Deccan Gymkahana,,Pune,Karnataka  411004 ",   ,"",KARNATAKA
641, completed - sustainable  ," , No. 4, A-Block, St. Paul’s Complex, Bharathiar Salai,,Thiruchirapalli,Tamil Nadu  620001 "," 0091-431-2413434, 2463434  ","",TAMIL NADU
642, completed - requirements ended  ," , Vatwa,,Ahmadabad,Gujarat   ",   ,"",GUJARAT
646, completed - requirements ended  ," , ,,Besant Nagar,Tamil Nadu   ",   ,"",TAMIL NADU
648, current / ongoing  ," , Shamayita Convent School,Amarkanan-Ranbahal-Road,Amarkanan,West Bengal  722133 ", 011919002224333  ,"",WEST BENGAL
650, completed - requirements ended  ," , Rishi Valley Education Center,Krishnamurti foundation India,Madanapalle,Andhra Pradesh  517352 ", 011 91 8571280622  ,"",ANDHRA PRADESH
656, completed - requirements ended  ," ,  AID-INDIA old no 20,new no 34,,Retinam street, gopalapuram,,Chennai,Tamil Nadu  86 ", 28350403.  ,"",TAMIL NADU
657, completed - requirements ended  ," , Chaithanya Rural Women & Children Welfare Society,Paineedi Nilaya, Near STSR College,Nayakanahatti,Karnataka  577536 ", 91-8190-207544  ,"",KARNATAKA
658, completed - requirements ended  ," , 110 Anand Park,,Aundh,Maharashtra  411007 ", 2589-8762  ,"",MAHARASHTRA
659, current / ongoing  ," , 110 Anand Park,-,Aundh,Maharashtra  411007 ", 2589-8762  ,"",MAHARASHTRA
660, completed - requirements ended  ," , No,22 Beemesawar Nagar, 4th Cross street, Mudichur,,Chennai,Tamil Nadu  600048 ", 9840937779  ,"",TAMIL NADU
661, completed - requirements ended  ," , 110 Anand Park,,Aundh,Maharashtra  411030 ", 2589-8762  ,"",MAHARASHTRA
662, completed - requirements ended  ," , Mugiayur Thope, Village and Post,Cheyyur Taulk,,Mugiayur,Tamil Nadu  603305 ", 9840340244  ,"",TAMIL NADU
663, completed - requirements ended  ," , 23/3 Eshwar Apartments, EC Road, Thiruvanmiyur,,Chennai,Tamil Nadu  600041 ", 9884080048  ,"",TAMIL NADU
664, completed - requirements ended  ," , No, 5 R.C.Street Marakanam Post. Tindivanam Taulk,,Vllupuram District,Tamil Nadu  604303 ", 9840340244  ,"",TAMIL NADU
665, completed - requirements ended  ," , T-58A 32nd Cross Street, Besant Nagar,,Chennai,Tamil Nadu  600090 ", 9840283386  ,"",TAMIL NADU
666, Proposal - Closed  ," , Prathmik Shala No. 2,Sector 20,  Near Enquiry,Gandhinagar,Gujarat  382020 ",   ,"",GUJARAT
667, completed - requirements ended  ," , Old No, 5 New No, 26 Second Floor, Zinda Street, Kondithope,,Chennai,Tamil Nadu  6000079 ", 9840340244  ,"",TAMIL NADU
668, current / ongoing  ," , Vishwa Bharathi Vidyodaya Trust,P. O. BOX NO. 28,Gudalur,Tamil Nadu  643212 ", 011 91 4262261927  ,"",TAMIL NADU
671, current / ongoing  ," , Purbasridharpur, Raidighi,24 Pargs(s),South 24 Parganas,West Bengal  743383 ", 011 91 33 24625544  ,"",WEST BENGAL
677, completed - requirements ended  ," , c/o G.Radhapyari & Lata Devi,Kwakeithel Laishram Leikai,,Imphal, Manipur,Manipur  795001 "," +91(0)3852230227, 09856164548  ","",MANIPUR
678, completed - requirements ended  ," , 5, M-1 Street,IIT, Hauz Khas,,,Delhi,Delhi  110016 ",   ,"",DELHI
680, Support ended.  ," , Aswari,Raja Talab,,Uttar Pradesh   ",   ,"",UTTAR PRADESH
682, completed - requirements ended  ," , Kaorakhali, via Nimpith Ashram, P.S. Kultali ,Via Nimpith Ashram, P.S - Kultali,Kaorakhali,West Bengal  743338 ", 91-97325-68825  ,"",WEST BENGAL
683, completed - requirements ended  ," , ,,,Delhi   ",   ,"",DELHI
684, completed - requirements ended  ," , ,,Jambumadai,Tamil Nadu   ",   ,"",TAMIL NADU
686, current / ongoing  ," , 18, Sawarkar Nagar Bus Stop,Khamla Road,Nagpur,Maharashtra  440015 ", 011 91 2220173  ,"",MAHARASHTRA
687, completed - requirements ended  ," , B -8, Bapu Nagar, Senthi, Chittorgarh,,,Rajasthan  312025 ", 91-1472-243788  ,"",RAJASTHAN
691, completed - requirements ended  ," , Asha Ballia, C/o Vijay Bhai,,Village and Post Reoti (south),Uttar Pradesh  277209 ",   ,"",UTTAR PRADESH
697, current / ongoing  ," , A-18 Pushpadhan Bungalows,Link Road Near  HFDC Bank,Bharuch,Gujarat  392001 ", 011-91-9662006293  ,"",GUJARAT
700, completed - requirements ended  ," , ,,5 villages in Virat Nagar,Rajasthan   ", 91 11 55137806  ,"",RAJASTHAN
702, completed - requirements ended  ," , Old No.10/2, New No.25, First Main Road, Kasturibhai Nagar,Adyar,Chennai,Tamil Nadu  600020 ", 91-44-2446 5590  ,"",TAMIL NADU
703, completed - sustainable  ," , Project: Rz-3, B/9, Kishangarh, Vasant Kunj,Office: 108- B/9, 1st Floor, Kishangarh, Vasant Kunj,New Delhi,Delhi  110 070 ", +91 93137-48115 (more below)  ,"",DELHI
704, current / ongoing  ," , No. 39,Mission Street,Porayar,Tamil Nadu  609307 ", 011 91 9443243681  ,"",TAMIL NADU
705, completed - requirements ended  ," , ,,,Assam   ",   ,"",ASSAM
707, current / ongoing  ," , Lok Samiti Office,Nagipur,, Post Behinipur,Uttar Pradesh  221307 ", 05422632433 9415300520  ,"",UTTAR PRADESH
709, completed - requirements ended  ," , Post Box No. 47,,No: 22 - 977/1, Moruganipalli Road,Chittoor,Andhra Pradesh  517001 "," +91 (8572) 227475,  228592  ","",ANDHRA PRADESH
710, completed - things went wrong  ," , Padmashree Society,,Bachhara Patna,Orissa  752050 ", 91-674-2492740  ,"",ODISHA
711, proposal-evaluation by chapter  ," , NIT TRICHY,THUVAKUDI,TRICHY,Tamil Nadu  620 015 ",   ,"",TAMIL NADU
713, completed - requirements ended  ," , Village â€“ Boxma, P O Kuchinda,,,Orissa  768222 ", 91 06642 220240  ,"",ODISHA
715, completed - requirements ended  ," , ,,,Uttar Pradesh   ",   ,"",UTTAR PRADESH
716, current / ongoing  ," , First Floor, 85/2, Luz Avenue, Mylapore, Chennai 600004,Near Nageswara rao park,chennai,Tamil Nadu  600004 ", 91 94455-74295  ,"",TAMIL NADU
717, completed - requirements ended  ," , X -1, Rathi Chowk,Satpur,Nasik,Maharashtra  422 007 ", (0253) 25351880  ,"",MAHARASHTRA
718, completed - requirements ended  ," , P.B. No. 93,,,Pollibetta,Karnataka  571215 ", 91-8274-251876 (School) 248193  ,"",KARNATAKA
719, completed - requirements ended  ," , Ravidas Gurudwara,,P.O. Sherpur,Punjab  148025 ", 9417195538  ,"",PUNJAB
720, completed - requirements ended  ," , 5/59A, Aduthurai Agraharam,Ullikkadai,,Tamil Nadu  614 202 ",   ,"",TAMIL NADU
723, completed - requirements ended  ," , Opp Rotary Kalyan Mandapam,Ramakrishna Seva Samithi,Bapatla,Andhra Pradesh   ", +91-0864-321973  ,"",ANDHRA PRADESH
724, completed - requirements ended  ," ,  417, Hossenpur,,,Kolkata,West Bengal  700107 ", 011-91-3324431520  ,"",WEST BENGAL
726, Support ended.  ," ,  31, 5th Cross, Off 5th Main,Indira Nagar, 1st Stage,Yelahanka, Bangalore District,Karnataka  560 038 ", 091-080-5274633  ,"",KARNATAKA
727, completed - requirements ended  ," , H. No. 1-4-880/2/36/1, New Bakaram, Gandhi Nagar,Hyderabad- 500 080, Andhra Pradesh, India,,Andhra Pradesh  600034 ", 91 - 40 - 27674757  ,"",ANDHRA PRADESH
729, completed - requirements ended  ," , Kc Mahindra Educational Trust/Naandi Foundation,502, Trendset Towers Road#2 Banjara Hills,HYDERABAD,Chhattisgarh  500 034 ", 91-(0)40-2355 6491/92  ,"",CHHATTISGARH
730, completed - requirements ended  ," , Ghanpur (M),Machareddy Mandal,Nizamabad,Telangana  503111 ", 9849157773  ,"",TELANGANA
731, completed - requirements ended  ," , Govt. High Schol, Shivna, Tehsil:Zhirnya, Dist: Khargone, MP,,Shivna,Madhya Pradesh   ",   ,"",MADHYA PRADESH
733, completed - requirements ended  ," , Salarpur,,Salarpur,Uttar Pradesh   ",   ,"",UTTAR PRADESH
736, completed - requirements ended  ," , L-6 Kalkaji,,New Delhi,Rajasthan  110019 ",   ,"",DELHI
737, completed - requirements ended  ," , ,,,West Bengal   ",   ,"",WEST BENGAL
739, completed - requirements ended  ," , Post Dhengli Pimpalgaon Taluka Selu Dist Parbhani,Maharashtra, India,Digraj,Maharashtra   ", 91-9422-569883  ,"",MAHARASHTRA
740, completed - requirements ended  ," , Asha Honor, T-58a 32nd Cross Street,,Besant Nagar,,Chennai.,Tamil Nadu  6000090 ", 9840340244  ,"",TAMIL NADU
741, completed - requirements ended  ," , 1/196 A, Veeras Garden, M.G.R.Nagar Main Road,,Lingam Nagar, Mudichur, West Tambaram,Chennai,Tamil Nadu  600048 ", 09840937779  ,"",TAMIL NADU
745, current / ongoing  ," , C 15 Chiragh Enclave,,New Delhi,Delhi  110048 ", +91-98114-24877  ,"",DELHI
746, current / ongoing  ," , Adruta Children Home,Gadakana, Mancheswar (R.S),Bhubaneswar,Orissa  751017 ", 0091-94385-53645  ,"",ODISHA
747, completed - requirements ended  ," , 238 Sidhartha Enclave,,,Delhi  110014 ", +919891513797  ,"",DELHI
748, completed - requirements ended  ," , Old No.5, New No.26, II Floor,,Zinda Street, Kondithope,,Avadi,Tamil Nadu  600 079 ", 09444404822  ,"",TAMIL NADU
750, completed - requirements ended  ," , 10 most backward villages of Belghar area of,Tumudibandh Block of the district,Dupi, Pagarapadi, Susbabhata,Orissa   ", 91-0674-2546413  ,"",ODISHA
753, Support ended.  ," , Mahila Vikas, Palace Street, Parlakhemundi 761200,Gajapati District, Orissa, India,,Orissa  761200 ", (+91) 6815 224679  ,"",ODISHA
754, completed - requirements ended  ," , Vivekananda Kendra  - Rural development programme,92/4, Devarpuram Road,THOOTHUKUDI,Tamil Nadu  628003 ", (0461) 2329336  ,"",TAMIL NADU
756, current / ongoing  ," , VILL. SUBUDDHIPUR, DE PARA, P.O. BARUIPUR,DIST. SOUTH 24 PARGANAS, KOLKATA, WEST BENGAL,BARUIPUR,West Bengal  700144 ", 091-033-2433 9865  ,"",WEST BENGAL
757, completed - requirements ended  ," , Trinita Society for Social Education and Health Research,19, Kankulia Road,kolkata,West Bengal  700029 ", 9433079313  ,"",WEST BENGAL
758, completed - requirements ended  ," , PARIJAT ACADEMY, PAMOHI, P.O. GARCHUK,,GUWAHATI,Assam  781035 ", +91-9864041711  ,"",ASSAM
759, rejected  ," , Village: Malhani,,Post: Bhatpaar Rani,,Uttar Pradesh  274702 ", 91-9839883518  ,"",UTTAR PRADESH
761, proposal-evaluation by chapter  ," , P.O. Mahimabari  (Titabar),Dist Jorhat,,Assam  785630 ", 91-94351- 53164  ,"",ASSAM
762, completed - requirements ended  ," , P.O. -Kailashpuri Block - Dumra,Distt.- Sitamarhi,,Bihar  834301 ", 9430083629  ,"",BIHAR
763, proposal-evaluation by chapter  ," , Ram Mandir Road, Vile Parle (E),,Mumbai,Maharashtra  400057 "," 26117195, 26142123,26141276  ","",MAHARASHTRA
764, current / ongoing  ," , Second Floor, Sudama Smruti, Near Pragati College,Snehakit Mitra Mandal Chowk, Nandivali Road, Dombivali,Maharashtra  421201 ", 011 91 22 25380111  ,"",MAHARASHTRA
765, completed - requirements ended  ," , Krishi Bharati, C â€“ 186, Nirala Nagar,,Lucknow,Uttar Pradesh  226 020 ", 91 522 2789 175  ,"",UTTAR PRADESH
766, completed - requirements ended  ," , Junagadh-Vanthli Highway, P.O.Box No.8, Shapur,,Dist. Junagadh, Gujarat, India,Gujarat  362 205 ", 94-2624-4026  ,"",GUJARAT
767, terminated  ," , House No.13, â€œMitra Kunjâ€,Street: Lata Marg, Sohagpur,Sohagpur,Madhya Pradesh  461771 ", 91-7575-278336  ,"",MADHYA PRADESH
769, completed - requirements ended  ," , BALAVIHAR,Behind Tagore Theater,Thiruvananthapuram,Kerala  695010 ", 0471-2727008  ,"",KERALA
770, completed - requirements ended  ," , Post Atrauli,,,UP, India,Uttar Pradesh   ", 0522-2347365  ,"",UTTAR PRADESH
771, completed - requirements ended  ," , 233 Adhyaru Estate, Sun Mill Compound,Senapati Bapat Marg,,Lower Parel,Maharashtra  400013 ", 91-22-24952249  ,"",MAHARASHTRA
772, completed - requirements ended  ," , C/O Anil Kumar, OM Nagar Colony,Beripur, Sarnath Lane No 1,,Uttar Pradesh  221002 ",   ,"",UTTAR PRADESH
773, completed - requirements ended  ," , Vivekananda Orphanage-School,,Sholavaram,Tamil Nadu  600067 ",   ,"",TAMIL NADU
776, completed - requirements ended  ," , No; 8/444 Muthamizh Nagar,,Kodungaiyur,,Tamil Nadu  600118 ", 9840283386  ,"",TAMIL NADU
777, completed - requirements ended  ," , No; 15/10 Diwan Bhashyam Street, West Saidapet,,,Tamil Nadu  600015 ", 9840714997  ,"",TAMIL NADU
778, completed - requirements ended  ," , No:14/27 Murugappa Street, Purasawakkam,,,Tamil Nadu  600007 ", 044-42661161  ,"",TAMIL NADU
780, completed - requirements ended  ," , HEALDS, Rural Training Center,Opp. to sugar mills,Mohanur,Tamil Nadu  637015 ", +91 4286 257111  ,"",TAMIL NADU
782, completed - requirements ended  ," , POST BOX NO.79, DOOR NO.5 (OLD), NO.26 (NEW), II FLOOR,ZINDA STREET,  KONDITHOPE,CHENNAI,Tamil Nadu  600 079 ",   ,"",TAMIL NADU
783, Support ended.  ," , c/o Manoj Kumar,Village and Post Mahe,,Bihar  848208 ", 91-9931956501  ,"",BIHAR
784, completed - requirements ended  ," ,  A Block, Apt no. 408,,Street no. 6, Vidyanagar,HYDERABAD,Andhra Pradesh  500007 ", 919441924445   ,"",ANDHRA PRADESH
785, completed - requirements ended  ," , New No 75A, Old 105A,Chandrabagh Avenue,,Mylapore, Chennai,Tamil Nadu  600004 ", 91-44-28474007  ,"",TAMIL NADU
786, terminated  ," , 1398, Dr. Mukherjee Nagar,,Delhi,Delhi  110 00 ", (91-11) 27653809  ,"",DELHI
787, current / ongoing  ," , Bharathi Trust, 184/14C, IIIrd Cross St.,Jaya Nagar, Thiruvallur,Senjiagaram village,Tamil Nadu  602001 ", 011 91 9884080048  ,"",TAMIL NADU
788, current / ongoing  ," , Purbasridharpur, Raidighi,24 Pargs(s),South 24 Parganas,West Bengal  743383 ", 011 91 33 24625544  ,"",WEST BENGAL
789, completed - requirements ended  ," , No.33/1-9, Thiagaraj Layout, Jaibharat Nagar, M S Nagar Post,,Bangalore,Karnataka  560033 ", 080-25492782/ 3 / 1  ,"",KARNATAKA
790, completed - requirements ended  ," , c/o SGBS Trust, No.1, Tank Road 78, 11th Cross,,Next to Ganapathy Temple, Opp Ulsoor Lake,,Bangalore,Karnataka  560042 ", (080) 25567990  ,"",KARNATAKA
791, completed - requirements ended  ," , ,,,Tamil Nadu   ",   ,"",TAMIL NADU
792, completed - requirements ended  ," , Shaligram House, Subhash Path, Nr Old municipality,,Thane,,Maharashtra  4000601 "," +91-22-25369666,25363122,93229  ","",MAHARASHTRA
794, current / ongoing  ," , Village Balia,P.O. Bahirkhand,Bahirkhand,West Bengal  712405 ", 03212 242283  ,"",WEST BENGAL
797, Proposal - Closed  ," , A-893 Indira Nagar,,Lucknow,Uttar Pradesh  226013 ", 0522-2342435  ,"",UTTAR PRADESH
798, completed - things went wrong  ," , Padmashree Society, Bachhara Patna,,,Orissa  752050 ", 91-674-2492740  ,"",ODISHA
799, completed - requirements ended  ," , â€˜Geeta Dhamâ€™, 41,,Ashok Nagar, Range Hills Road,, Pune,Maharashtra   411007 ", 91- 20 â€“ 2553 7747  ,"",MAHARASHTRA
800, completed - requirements ended  ," , 405/9 Narayan peth, Behind Modi Ganpati Temple,,Pune,Maharashtra  411030 "," (020) â€“ 25448019, 24483050,  ","",MAHARASHTRA
801, completed - things went wrong  ," , Puliampatti village & Post,,,,Tamil Nadu  606 703 ",   ,"",TAMIL NADU
803, completed - requirements ended  ," , Saraipani,P.O.Mahimabari,Titabar,Assam  785630 ", (091) 943-515-3164  ,"",ASSAM
805, current / ongoing  ," , 164, MM Plaza, 1st Floor,Trichirapalli Main Road,,Perambalur,Tamil Nadu  621005 ", 91-98424-62930  ,"",TAMIL NADU
807, rejected  ," , Gnanodaya School,Venkatapuram Village,,Tamil Nadu  603204 ", 91-44-27464890  ,"",TAMIL NADU
808, completed - requirements ended  ," , 59, Tughlakabad Institutional Area,,New Delhi,Delhi  110 062 "," (11) 29955505, (11) 29956244  ","",DELHI
809, current / ongoing  ," , Arjun Shanmuga Illam,439/1 East Street ,Karumbalai,Tamil Nadu  625020 ", 9894805446  ,"",TAMIL NADU
810, completed - requirements ended  ," , J-5A, Jhalana Institution Area,,Jaipur,Rajasthan   ", +91-(0)141-2711018/ 2703110  ,"",RAJASTHAN
811, completed - requirements ended  ," , ,,Orissa,Orissa  765 019 ", 06863-247505  ,"",ODISHA
812, completed - requirements ended  ," , House No. 3-10-6, Kamalakara Nilayam,Gokhale Nagar,Ramanthapur,Telangana  500013 ", 040-27038233  ,"",TELANGANA
814, completed - requirements ended  ," , A-893 Indira Nagar,,Lucknow,Uttar Pradesh  226013 ", 0522-2342435  ,"",UTTAR PRADESH
815, completed - requirements ended  ," , Mann Deshi Foundation Mhaswad,Tal-Man District-Satara,Mhaswad,Maharashtra  415509 ", 91-2373-270119  ,"",MAHARASHTRA
817, completed - requirements ended  ," , 7th Lane Kamathipura Mun School,Sukhlaji Street, Kamathipura,Mumbai,Maharashtra  400008 "," 25700128, 23053166, 25948296  ","",MAHARASHTRA
819, Support ended.  ," , 54 Shamla Road,,Bhopal,Madhya Pradesh  462002 ", 0755-2646577; 264698  ,"",MADHYA PRADESH
820, completed - requirements ended  ," , Purba Sridharpur,Raidighi,Purba Sridharpur,West Bengal  743383 ", +91 9932176287  ,"",WEST BENGAL
821, completed - requirements ended  ," , # 377, 8th Cross, Jayanagar,1st Block,,Bangalore,Karnataka  560 011 ", +91 080 26564460  ,"",KARNATAKA
824, completed - requirements ended  ," , 4/1, Tilak Nagar, Chembur,,,Maharashtra  400089 ", 91-22-56268766  ,"",MAHARASHTRA
826, terminated  ," , 15/A, Arockiyanathur Street,,,,Tamil Nadu  606 801 ", 04181 252896  ,"",TAMIL NADU
827, current / ongoing  ," , 41-46, Kubera Vihar B-1,Gadital, HADAPSAR,Pune,Maharashtra  411028 ", 91-20-2699-5625  ,"",MAHARASHTRA
829, completed - sustainable  ," , (SPAN) Society for Peoplesâ€™ Awa,66/2, Sarat Chandra Dhar Road,Kolkata,West Bengal  700090 ", 091-033-2531-9856/6484/2577-37  ,"",WEST BENGAL
830, completed - requirements ended  ," , Indian Association for Special Education, Flat No. 404,,Pocket 4, Sector 2,Rohini,Delhi  110085 ", +91-11-2766-2628.  ,"",DELHI
832, completed - requirements ended  ," , ""Rashmi "" , 3/9 , Yashashree Colony,,Behind navsahyadri Vithal Mandir, Karve Nagar,Pune,Maharashtra  411052 ", 020-32918617  ,"",MAHARASHTRA
834, current / ongoing  ," , C/o Father Assis Rodgrigues,The Shirpur Vishwamandal Sevashram,Shirpur,Maharashtra  425405 ", 91 2563 255561  ,"",MAHARASHTRA
835, completed - requirements ended  ," , Child Aid Foundation,,C.A.F. Road, Patamatalanka,,Vijayawada,Andhra Pradesh  520014 ", 91 0866 2470380  ,"",ANDHRA PRADESH
836, completed - requirements ended  ," ,  Salil Chattopadhyay ,Samagra Uttarbanga Loka Kalyan Kendra,""Jinkgoale"", Mohitnagar, Jalpaiguri 735 1 0 1,Jalpaiguri,West Bengal  735101 ", 913561-255685/0372  ,"",GOA
837, completed - requirements ended  ," , Village : Barkalikapur, P.O. Bakhrahat,,Bakhrahat Road,,West Bengal   ", (033) 2498 0226  ,"",WEST BENGAL
839, current / ongoing  ," , Ramakrishna Mission Ashrama,Narendrapur,P.O. Narendrapur,West Bengal  700103 ", 011 91 3324772201  ,"",WEST BENGAL
840, completed - requirements ended  ," , Sanand Bavla Road,,Village Nani Devti,,Taluka Sanand, Ahmedabad,Gujarat  380 007 "," +917965443745, +919727750448  ","",GUJARAT
842, completed - requirements ended  ," , Bharat Sevashram Sangha,Sahapur,Malda,West Bengal  732101 ", 03512 260459  ,"",WEST BENGAL
845, current / ongoing  ," , No. 1, Norton 2nd Street, ,Mandaveli,Chennai,Tamil Nadu  600028 ", 011 91 9342164411  ,"",TAMIL NADU
847, completed - things went wrong  ," , H. No. 16 - 2 - 738/4/5/12, S.B.H Bank Colony,Gaddiannaram, Malakpet,,Hyderabad,,Telangana  500059 ", +91-40-2415 1497  ,"",TELANGANA
848, current / ongoing  ," , 405, F, Pocket II, Phase I,,Mayur Vihar,,Delhi,Delhi  110091 ", 9101143042669  ,"",DELHI
849, current / ongoing  ," , 405, F, Pocket II, Phase I,,Mayur Vihar,,Delhi,Delhi  110091 ", 9101143042669  ,"",DELHI
852, completed - requirements ended  ," , Circle of Goodwill, D.No. 14-1-1, Nowroji Road,,,Mangamaripeta,Andhra Pradesh  530 002 ", +1-91-891- 2701531/ 2553154  ,"",ANDHRA PRADESH
854, completed - requirements ended  ," , Sarpanch Office,Mushtikovela Village,C.K.Palli Mandal,Andhra Pradesh  515101 ", 09440798541  ,"",ANDHRA PRADESH
855, completed - requirements ended  ," , Assema Charitable Trust,G-3 Josephine Apartments, Ground Floor, Chimbai Road, Bandra,Mumbai,Maharashtra  400050 ", 91-22-26407248  ,"",MAHARASHTRA
856, Support ended.  ," , Baikunthadeb Road, P.O. Madhyamgram,,District - 24 Parganas (N),,West Bengal  700130 ", 9133-25374660  ,"",WEST BENGAL
857, completed - requirements ended  ," , Ushagram Trust,P.O.- Birnagar,,Vill.- Ushagram,West Bengal  741127 ", +91 (03473) 261-084  ,"",WEST BENGAL
858, completed - requirements ended  ," , #1 Ranjith Road,,Kotturpuram,Tamil Nadu  600085 ", 044-22353757  ,"",TAMIL NADU
862, completed - requirements ended  ," , Hanchipura Road, Saragur,,H.D. Kote Taluk,Karnataka  571121 ", +91 (8228) 265877  ,"",KARNATAKA
863, completed - requirements ended  ," , Asha-Ballia,,P.O. Reoti,Bhaisahan,Uttar Pradesh  277209 ", 91-9935517689  ,"",UTTAR PRADESH
865, completed - requirements ended  ," , c/o Timbaktu Collective, Chennakothapalli Field Office,,CK Palli Village,Andhra Pradesh  515101 ", 09440988575  ,"",ANDHRA PRADESH
866, completed - requirements ended  ," , C-9 (Basement),Lajpat Nagar - III,New Delhi,Delhi  110024 "," +91+11+29840151, 39603837  ","",DELHI
868, completed - requirements ended  ," , Satsang Vidyalaya - Nakkaladinne,Ponnutipalayam Post,Madanapalle,Andhra Pradesh  517325 ", +91 9347565647 / +91 944021282  ,"",ANDHRA PRADESH
869, completed - requirements ended  ," , AID India, Old No 20, New No 34, II Floor,,Rathenam Street, Gopalapuram,,Chennai,Tamil Nadu  600086 ", +91-94440-61033  ,"",TAMIL NADU
872, current / ongoing  ," , E1/157 ,Area Colony,Berkeley,Madhya Pradesh  94704 ", 91 9329262121   ,"",MADHYA PRADESH
873, completed - requirements ended  ," , The Tukaram Shikshan va Lokprabodhan Kendra,Ajara, Dist. Kolhapur,Raiwada,Maharashtra  416505 ", 0091-9922264310  ,"",MAHARASHTRA
874, completed - requirements ended  ," , Kaivalya Trust,Tithal,Dharampur,Gujarat  396006 ", (02632) 240550  ,"",GUJARAT
876, current / ongoing  ," , Seva Mandir,Old Fatehpura,Udaipur,Rajasthan  303004 ", 2942451041  ,"",RAJASTHAN
877, completed - requirements ended  ," , ,,Pallayamkotti,Tamil Nadu   ", +91 44 65519972  ,"",TAMIL NADU
878, completed - requirements ended  ," , G2, Prakruti, Thanushree Properties,Vijayashree Layout, Mylasandra,Bangalore,Karnataka  560059 ", 91 9342189191  ,"",KARNATAKA
879, completed - sustainable  ," , Vallalar Thai Tamil Palli,Keelanavayal Post, Manavanur via,Ma.Manjampatti,Tamil Nadu  624103 ", 011919360 523555  ,"",TAMIL NADU
880, completed - requirements ended  ," , AID INDIA New No 34, 2nd Floor, Rathnam Street,Gopalapuram,Chennai,Tamil Nadu  600086 "," +91-44-28350403, 4210-6493  ","",TAMIL NADU
881, completed - sustainable  ," , Parijat Academy,Pamohi P.O., Garchuk,Guwahati,Assam  781035 ", 011 91 9864041711  ,"",ASSAM
882, Support ended.  ," , ,,Cheo, Sundar Pahari Block,Jharkhand   ",   ,"",JHARKHAND
883, Support ended.  ," , Asha-Hyderbad/Bhumi,,,Telangana   ",   ,"",TELANGANA
884, Support ended.  ," , Flat No T-2, Akshaya Flats, No. 55, Irusappa St,Triplicane,Chennai,Tamil Nadu  600005 ", 044-28440587  ,"",TAMIL NADU
885, current / ongoing  ," , Childlife Preserve Shishur Sevay,17/2/7 Sahapur Main Road,Kolkata,West Bengal  700038 ", 011-91-33-498-1120  ,"",WEST BENGAL
888, completed - requirements ended  ," , Plot No. 291, # 10-76,Opp: Holy cross High school, Near: B.V.K.School,Kovilapalem, Visakhapatnam,Andhra Pradesh  530043 ", 09247269745  ,"",ANDHRA PRADESH
890, completed - requirements ended  ," , ,,3 Taluks (Check description),Tamil Nadu   ", +91 44 65519972  ,"",TAMIL NADU
891, completed - sustainable  ," , H.No 10-3, Plot No 41,East Marredpally,Secunderabad,Andhra Pradesh  500026 ", 040-27734515  ,"",ANDHRA PRADESH
892, current / ongoing  ," , Swadhar IDWC,96 Navi Peth,Pune,Maharashtra  411030 ", 24533452  ,"",MAHARASHTRA
